user_name,email,phone_number,external_id,street_address,postcode,city,country,birthday,loyalty_points,loyalty_level
mrobinson,wsimmons@example.net,791.963.6868,409-28-7473,8566 Michael Parkway Apt. 468,97938,Walkerland,Tonga,1983-08-13,1237,beginner
cooperjenna,freemancynthia@example.com,001-837-545-5866,256-03-4574,37045 Christine Groves,07885,Nguyenmouth,Tuvalu,1916-11-04,6346,leader
jordanperry,laurenwilliams@example.org,001-838-369-5906x6383,559-63-4559,5508 Carrie Underpass,67796,East Antoniomouth,Netherlands,1955-02-14,2327,active
aatkins,cochranjason@example.net,(481)784-5665,733-38-8252,338 Sanchez Courts,95188,Robersonville,Svalbard & Jan Mayen Islands,1922-02-15,8806,active
martin69,watersjohn@example.com,+1-315-831-3634x99806,281-86-7087,93604 Haynes Haven,91115,Robinborough,Denmark,2003-08-19,9036,beginner
dmathews,linda88@example.net,043.481.0180,277-15-8320,840 Price Street Suite 684,81427,South Oscarshire,Korea,1926-03-31,354,beginner
courtneygarcia,davidsilva@example.net,6782900585,561-08-6397,561 Santana Walk,13538,Sanchezborough,Denmark,1931-06-26,6450,active
alyssa65,tiffany94@example.com,365.051.3984x269,296-79-2404,48946 Julie Mews,93415,Maxwellfurt,Russian Federation,1945-02-12,7035,entusiast
bennettdavid,john57@example.net,+1-394-426-9880x94139,456-74-3323,4875 Tiffany Extensions Suite 891,22531,South Laurie,Lithuania,2008-12-03,7700,beginner
johnnystanley,christopher41@example.com,(648)277-7555x097,657-88-9845,825 Johnson Mountain Apt. 523,00501,West Matthew,France,1911-08-14,8530,entusiast
smithcaroline,erodriguez@example.com,+1-618-712-1792,255-56-1806,31436 Liu Lodge Suite 995,46156,West Sarah,French Southern Territories,1925-03-16,9684,entusiast
jeffreysmith,tracyellis@example.net,+1-689-233-3370x4348,777-81-1423,64190 Nelson Cove,43132,Lake George,Indonesia,1917-01-01,5515,active
cynthiasullivan,dickersonzachary@example.com,001-433-863-4569,438-55-7540,814 Fischer Rue Suite 768,03088,East Kyle,Haiti,1965-02-09,2638,active
stewartcindy,beckerdominique@example.org,759-874-5491,830-73-6010,150 Mallory Mountains,84468,Port Markland,Kazakhstan,1942-11-09,5572,beginner
fergusonallison,brianmahoney@example.net,+1-803-206-8051,599-94-0273,7754 Page Plain Suite 588,27966,South Mary,Morocco,1930-09-23,9339,beginner
