product_id,product_name,purchased_date,product_category,customer_id,customer_email
FFYV-71317329,Headphones Motorola S10,2012-12-23,Home Appliances,683-91-1593,
XDOD-88802480,TV Samsung SmartX,2020-02-23,Electronics,,arthur69@example.net
MVGL-09495229,Monitor Motorola 456ty,2015-04-17,Electronics,,tparks@example.org
HFUK-76003643,TV LG X4T,2017-05-18,Electronics,,aaronsmith@example.org
DMRX-12503387,GPS Samsung X10,2012-11-11,Electronics,032-96-1350,
MGCI-24198228,Smartwatch Samsung 456ty,2021-04-20,Electronics,,jared01@example.com
FKFJ-74717442,Computer BenQ 456ty,2012-09-16,Home Appliances,,meganwoods@example.net
XLFM-66656638,Cell Phone Motorola X4T,2016-11-21,Electronics,,ericrandall@example.net
IMVD-91275887,TV Apple S10,2020-03-31,Health & Sports,517-89-9209,
YGIB-70349046,Cell Phone Sony d95,2013-02-12,Electronics,,scott04@example.com
KXHZ-55790699,Smartwatch Apple X4T,2013-02-06,Electronics,708-56-0952,
VJDQ-40419454,Monitor Samsung 456ty,2014-01-09,Health & Sports,,dawnnicholson@example.net
LXHQ-93101435,Smartwatch Apple S10,2014-02-06,Home Appliances,560-48-9267,
ALYW-32400460,GPS BenQ 456ty,2020-01-01,Home Appliances,450-48-4172,
KZXG-88786330,Computer Apple 456ty,2018-01-20,Electronics,148-31-9551,
FQWN-30464837,TV Sony 456ty,2019-11-01,Electronics,428-68-4940,
JJJA-38138797,GPS Samsung d95,2016-01-02,Electronics,,flittle@example.com
AZWX-04682875,Tablet LG X4T,2016-03-22,Electronics,,lmorrison@example.com
VFIX-40314714,Tablet Samsung X4T,2019-02-24,Electronics,,grichardson@example.org
IVSO-68213601,Monitor LG SmartX,2021-06-25,Electronics,185-35-4627,
DVVI-47115099,Cell Phone Samsung X4T,2016-05-12,Health & Sports,447-61-4795,
SUAR-17034551,Tablet Motorola SmartX,2015-03-15,Home Appliances,,jennifer54@example.com
UZQW-12374460,Smartwatch Samsung d95,2019-07-17,Home Appliances,285-92-0967,
WXFP-98692352,Cell Phone BenQ X10,2018-08-11,Health & Sports,,jacksongeoffrey@example.com
PFRQ-54713952,Cell Phone Samsung S10,2015-12-20,Health & Sports,851-41-4723,
JBPP-23032803,Computer Apple 456ty,2021-05-05,Home Appliances,,patricia54@example.com
XEXR-72373588,Smartwatch Apple d95,2013-06-29,Electronics,,zpreston@example.org
BXXK-48166040,Smartwatch BenQ S10,2014-09-26,Health & Sports,038-49-3115,
LGGL-65730937,TV Apple S10,2015-09-02,Electronics,,vperry@example.com
JWAY-10636792,Cell Phone LG 456ty,2021-01-17,Home Appliances,,rortiz@example.com
ENAX-53142979,Tablet Samsung 456ty,2021-05-22,Home Appliances,,sward@example.com
QISK-54826350,TV Samsung d95,2013-10-30,Health & Sports,406-52-5286,
CQPZ-45807139,Monitor Sony X4T,2016-04-04,Health & Sports,,escobarkaylee@example.com
XPSJ-48813029,Tablet Samsung S10,2017-09-28,Electronics,106-11-9279,
ESAQ-30690088,Headphones Samsung S10,2018-04-02,Home Appliances,222-93-6745,
KEDX-51086829,Smartwatch LG X4T,2012-08-28,Health & Sports,,vjacobson@example.com
GHIE-66689832,Headphones Motorola 456ty,2014-07-23,Health & Sports,,michellejackson@example.org
MLCJ-48930321,Headphones LG 456ty,2018-02-09,Electronics,674-49-9153,
VDKW-14192662,Headphones Motorola X10,2020-10-10,Health & Sports,322-71-3121,
XMJU-30599150,GPS Apple d95,2016-12-31,Home Appliances,476-34-1205,
GZNP-20851386,TV Apple X4T,2020-10-09,Home Appliances,,rodriguezsean@example.org
ITJL-07454712,Monitor Motorola X10,2018-09-07,Home Appliances,727-94-4466,
EOMB-91038819,TV Motorola SmartX,2020-01-11,Home Appliances,,grantmorgan@example.com
VPUG-40887089,Cell Phone LG X10,2013-01-15,Health & Sports,,mmiller@example.net
JYBH-89837107,GPS Motorola X4T,2015-01-13,Health & Sports,073-05-2686,
FTMY-17430819,Headphones LG d95,2016-09-20,Home Appliances,,kristopher04@example.net
ZYDO-12478806,Computer Apple S10,2021-10-22,Electronics,302-75-8569,
VCFG-84645069,TV Motorola 456ty,2014-09-20,Health & Sports,310-43-2808,
HOCY-50752879,Tablet BenQ SmartX,2018-08-13,Electronics,452-25-1919,
OCJZ-50183446,Headphones Sony S10,2018-02-18,Health & Sports,,jacobadams@example.net
ZCPC-59510809,Headphones Apple SmartX,2018-10-16,Electronics,,christine87@example.com
ZHHO-57782959,Headphones LG SmartX,2022-04-09,Home Appliances,010-51-5168,
FVKV-57482863,TV Sony S10,2017-11-11,Home Appliances,272-51-9386,
HNON-41693165,Computer Samsung 456ty,2018-07-24,Home Appliances,,lsnow@example.org
ICSZ-75039228,Cell Phone Motorola d95,2017-11-24,Electronics,199-59-2043,
JCVX-84604069,Computer LG X4T,2021-07-25,Home Appliances,165-52-5192,
NCUN-15440359,TV LG S10,2020-01-29,Electronics,,susan79@example.com
MDFB-33976164,Cell Phone BenQ X4T,2020-06-14,Home Appliances,823-44-4477,
BJOS-89382135,GPS LG SmartX,2020-05-26,Electronics,308-65-9858,
RTOK-42720874,Computer Motorola S10,2013-05-02,Electronics,,emilyanderson@example.com
XMXU-49865258,Tablet LG S10,2014-11-22,Health & Sports,168-25-3141,
GOLE-83274369,Monitor Motorola 456ty,2019-01-31,Health & Sports,,anthony90@example.org
KIPO-52540754,TV Samsung X10,2016-09-19,Health & Sports,,porterkenneth@example.com
SFNT-44260811,Headphones Apple X4T,2020-08-24,Electronics,,toddgarcia@example.org
LEAD-67992156,GPS Apple d95,2016-08-28,Electronics,373-08-5619,
BYQC-31722843,Cell Phone BenQ X10,2019-10-19,Electronics,,rhill@example.net
IMSC-89164699,Computer Samsung d95,2017-12-03,Electronics,494-15-5608,
JZGZ-97427045,GPS Motorola SmartX,2019-03-20,Electronics,,krystalrussell@example.com
KDMP-79726070,GPS LG X4T,2014-01-25,Electronics,,brianhogan@example.net
MOYO-56582650,Monitor LG S10,2013-05-10,Electronics,,shelbymcbride@example.net
LIUY-42880204,Smartwatch BenQ X4T,2020-08-28,Electronics,616-81-4211,
IIUP-19496360,Computer Samsung SmartX,2015-10-02,Electronics,468-73-7795,
TIIB-02277440,Cell Phone Apple d95,2016-07-02,Home Appliances,,patricia68@example.net
HWLL-80759958,TV BenQ X10,2013-01-27,Health & Sports,126-16-0447,
POCL-86133098,Computer Sony d95,2014-02-19,Home Appliances,335-51-6592,
LCDT-74499368,Monitor Sony 456ty,2014-10-20,Home Appliances,,richardsonvalerie@example.net
QSFK-85275138,Cell Phone Apple SmartX,2020-12-22,Health & Sports,,dbush@example.org
UMBJ-90607967,Tablet Samsung 456ty,2014-05-12,Electronics,,travisbanks@example.net
HPCK-47200492,Cell Phone Sony d95,2019-02-24,Health & Sports,,josephcharles@example.com
BVRX-67300539,Monitor BenQ X4T,2014-06-19,Home Appliances,768-18-4959,
MYCY-56515607,Cell Phone Samsung 456ty,2016-09-08,Health & Sports,745-34-2760,
BNBP-06012068,GPS Motorola 456ty,2022-02-17,Electronics,,hernandezbruce@example.org
QDXG-85262169,Tablet LG S10,2021-09-27,Home Appliances,,claytodd@example.org
GJTI-87511816,Monitor Apple X10,2018-05-28,Health & Sports,432-15-0785,
FKIL-30726980,GPS Samsung X4T,2015-08-20,Electronics,260-45-6268,
KODL-56544925,Tablet LG d95,2017-01-19,Health & Sports,141-46-0397,
NXYI-95673584,Tablet LG X4T,2019-08-28,Home Appliances,,evansamber@example.org
UQUZ-84592601,Monitor Sony S10,2017-07-18,Health & Sports,,heather63@example.com
JHGE-63954098,Cell Phone Samsung X10,2020-03-20,Home Appliances,,beverly46@example.com
IBLV-62063848,Headphones Apple d95,2013-12-06,Home Appliances,236-23-8911,
MNRR-09162848,Headphones LG X10,2019-11-08,Electronics,225-66-8627,
RGFE-70881049,Tablet LG X10,2013-07-30,Home Appliances,741-40-7842,
BSGO-93543009,Smartwatch Sony S10,2021-01-05,Health & Sports,,tedwards@example.com
